Date,Sales
2023-01-01,124.97
2023-01-02,125.19
2023-01-03,134.92
2023-01-04,139.67
2023-01-05,115.47
2023-01-06,111.47
2023-01-07,131.47
2023-01-08,129.92
2023-01-09,124.13
2023-01-10,136.11
2023-01-11,122.04
2023-01-12,115.4
2023-01-13,118.46
2023-01-14,98.77
2023-01-15,107.22
2023-01-16,125.42
2023-01-17,122.77
2023-01-18,132.02
2023-01-19,113.17
2023-01-20,104.11
2023-01-21,134.74
2023-01-22,124.39
2023-01-23,133.88
2023-01-24,120.8
2023-01-25,125.58
2023-01-26,125.49
2023-01-27,108.84
2023-01-28,125.95
2023-01-29,122.73
2023-01-30,132.37
2023-01-31,131.1
2023-02-01,151.6
2023-02-02,126.29
2023-02-03,111.8
2023-02-04,132.43
2023-02-05,118.52
2023-02-06,139.35
2023-02-07,119.48
2023-02-08,121.74
2023-02-09,130.32
2023-02-10,131.67
2023-02-11,127.8
2023-02-12,131.45
2023-02-13,136.1
2023-02-14,126.13
2023-02-15,129.64
2023-02-16,125.53
2023-02-17,136.63
2023-02-18,131.28
2023-02-19,116.7
2023-02-20,144.06
2023-02-21,138.74
2023-02-22,131.72
2023-02-23,137.89
2023-02-24,137.98
2023-02-25,138.74
2023-02-26,127.5
2023-02-27,139.27
2023-02-28,147.42
2023-03-01,149.74
2023-03-02,128.45
2023-03-03,127.25
2023-03-04,119.78
2023-03-05,125.32
2023-03-06,151.85
2023-03-07,159.01
2023-03-08,140.57
2023-03-09,144.55
2023-03-10,133.97
2023-03-11,125.61
2023-03-12,142.09
2023-03-13,160.27
2023-03-14,146.22
2023-03-15,158.05
2023-03-16,109.4
2023-03-17,139.63
2023-03-18,133.96
2023-03-19,136.48
2023-03-20,146.77
2023-03-21,127.64
2023-03-22,141.11
2023-03-23,140.04
2023-03-24,147.03
2023-03-25,128.72
2023-03-26,132.17
2023-03-27,141.58
2023-03-28,157.39
2023-03-29,147.28
2023-03-30,131.83
2023-03-31,138.01
2023-04-01,135.47
2023-04-02,150.5
2023-04-03,140.11
2023-04-04,145.46
2023-04-05,140.54
2023-04-06,122.94
2023-04-07,136.25
2023-04-08,137.49
2023-04-09,141.22
2023-04-10,145.11
2023-04-11,134.87
2023-04-12,140.51
2023-04-13,134.37
2023-04-14,125.46
2023-04-15,133.43
2023-04-16,145.34
2023-04-17,166.42
2023-04-18,150.84
2023-04-19,147.34
2023-04-20,137.06
2023-04-21,114.28
2023-04-22,134.72
2023-04-23,141.82
2023-04-24,172.08
2023-04-25,147.04
2023-04-26,147.61
2023-04-27,137.26
2023-04-28,121.55
2023-04-29,146.16
2023-04-30,148.46
2023-05-01,155.05
2023-05-02,139.53
2023-05-03,158.26
2023-05-04,123.2
2023-05-05,138.69
2023-05-06,156.19
2023-05-07,130.56
2023-05-08,140.97
2023-05-09,149.09
2023-05-10,138.64
2023-05-11,121.13
2023-05-12,132.9
2023-05-13,123.03
2023-05-14,144.54
2023-05-15,136.76
2023-05-16,162.89
2023-05-17,135.11
2023-05-18,132.67
2023-05-19,139.57
2023-05-20,120.55
2023-05-21,141.26
2023-05-22,158.19
2023-05-23,130.45
2023-05-24,143.91
2023-05-25,137.58
2023-05-26,138.33
2023-05-27,119.55
2023-05-28,124.82
2023-05-29,149.35
2023-05-30,148.5
2023-05-31,143.55
2023-06-01,137.41
2023-06-02,122.66
2023-06-03,133.17
2023-06-04,139.87
2023-06-05,135.88
2023-06-06,163.06
2023-06-07,144.65
2023-06-08,120.88
2023-06-09,134.86
2023-06-10,119.92
2023-06-11,143.62
2023-06-12,153.41
2023-06-13,134.98
2023-06-14,148.31
2023-06-15,135.68
